Municipality,Ward,VotingDistrict,VotingStationName,RegisteredVoters,SpoiltVotes,TotalValidVotes,PartyName,BallotType
EKU,Ward 79700079,33030122,ITHOPIA CHURCH,2458,17,396,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700079,33030122,ITHOPIA CHURCH,2458,17,136,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700079,33030122,ITHOPIA CHURCH,2458,17,91,ACTIONSA,Ward
EKU,Ward 79700079,33030133,LANGAVILLE SECONDARY SCHOOL,2530,21,613,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700079,33030133,LANGAVILLE SECONDARY SCHOOL,2530,21,477,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700079,33030133,LANGAVILLE SECONDARY SCHOOL,2530,21,164,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700079,33030133,LANGAVILLE SECONDARY SCHOOL,2530,21,109,ACTIONSA,Ward
EKU,Ward 79700080,33090016,EBENNEZER DAYCARE AND CRECHE,2704,22,654,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700080,33090016,EBENNEZER DAYCARE AND CRECHE,2704,22,509,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700080,33090016,EBENNEZER DAYCARE AND CRECHE,2704,22,174,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700080,33090016,EBENNEZER DAYCARE AND CRECHE,2704,22,116,ACTIONSA,Ward
EKU,Ward 79700080,33090038,MUZOMSHA PRIMARY SCHOOL,2632,20,579,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700080,33090038,MUZOMSHA PRIMARY SCHOOL,2632,20,450,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700080,33090038,MUZOMSHA PRIMARY SCHOOL,2632,20,154,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700080,33090038,MUZOMSHA PRIMARY SCHOOL,2632,20,103,ACTIONSA,Ward
EKU,Ward 79700080,33090049,ST MATTHEWS METHODIST CHURCH,1033,9,279,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700080,33090049,ST MATTHEWS METHODIST CHURCH,1033,9,217,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700080,33090049,ST MATTHEWS METHODIST CHURCH,1033,9,74,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700080,33090049,ST MATTHEWS METHODIST CHURCH,1033,9,50,ACTIONSA,Ward
EKU,Ward 79700081,33030144,MENZI PRIMARY SCHOOL,2555,21,606,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700081,33030144,MENZI PRIMARY SCHOOL,2555,21,471,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700081,33030144,MENZI PRIMARY SCHOOL,2555,21,162,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700081,33030144,MENZI PRIMARY SCHOOL,2555,21,108,ACTIONSA,Ward
EKU,Ward 79700081,33030155,ROMAN CATHOLIC CHURCH,1851,16,471,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700081,33030155,ROMAN CATHOLIC CHURCH,1851,16,366,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700081,33030155,ROMAN CATHOLIC CHURCH,1851,16,126,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700081,33030155,ROMAN CATHOLIC CHURCH,1851,16,84,ACTIONSA,Ward
EKU,Ward 79700081,33030166,NEW AFRICAN GAZA CHURCH,2265,16,461,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700081,33030166,NEW AFRICAN GAZA CHURCH,2265,16,359,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700081,33030166,NEW AFRICAN GAZA CHURCH,2265,16,123,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700081,33030166,NEW AFRICAN GAZA CHURCH,2265,16,82,ACTIONSA,Ward
EKU,Ward 79700082,33030199,J E MALEPE SECONDARY SCHOOL,2439,21,628,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700082,33030199,J E MALEPE SECONDARY SCHOOL,2439,21,489,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700082,33030199,J E MALEPE SECONDARY SCHOOL,2439,21,168,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700082,33030199,J E MALEPE SECONDARY SCHOOL,2439,21,112,ACTIONSA,Ward
EKU,Ward 79700082,33030201,MICHAEL ZULU SCHOOL,2638,24,701,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700082,33030201,MICHAEL ZULU SCHOOL,2638,24,545,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700082,33030201,MICHAEL ZULU SCHOOL,2638,24,187,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700082,33030201,MICHAEL ZULU SCHOOL,2638,24,125,ACTIONSA,Ward
EKU,Ward 79700082,33030212,AGC CHURCH,1396,12,355,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700082,33030212,AGC CHURCH,1396,12,276,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700082,33030212,AGC CHURCH,1396,12,95,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700082,33030212,AGC CHURCH,1396,12,63,ACTIONSA,Ward
EKU,Ward 79700083,33030223,THOLULWAZI SCHOOL,2669,22,644,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700083,33030223,THOLULWAZI SCHOOL,2669,22,501,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700083,33030223,THOLULWAZI SCHOOL,2669,22,172,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700083,33030223,THOLULWAZI SCHOOL,2669,22,114,ACTIONSA,Ward
EKU,Ward 79700083,33030234,SHADRACK MBAMBO PRIMARY SCHOOL,2049,18,539,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700083,33030234,SHADRACK MBAMBO PRIMARY SCHOOL,2049,18,419,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700083,33030234,SHADRACK MBAMBO PRIMARY SCHOOL,2049,18,144,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700083,33030234,SHADRACK MBAMBO PRIMARY SCHOOL,2049,18,96,ACTIONSA,Ward
EKU,Ward 79700083,33030245,MANGOSUTHU SCHOOL,2077,17,508,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700083,33030245,MANGOSUTHU SCHOOL,2077,17,395,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700083,33030245,MANGOSUTHU SCHOOL,2077,17,135,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700083,33030245,MANGOSUTHU SCHOOL,2077,17,90,ACTIONSA,Ward
EKU,Ward 79700084,33030324,RESHOGOFADITSWE SECONDARY SCHOOL,3286,27,796,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700084,33030324,RESHOGOFADITSWE SECONDARY SCHOOL,3286,27,619,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700084,33030324,RESHOGOFADITSWE SECONDARY SCHOOL,3286,27,212,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700084,33030324,RESHOGOFADITSWE SECONDARY SCHOOL,3286,27,141,ACTIONSA,Ward
EKU,Ward 79700084,33030335,TSAKANE EXT 17 TENT,3340,23,692,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700084,33030335,TSAKANE EXT 17 TENT,3340,23,538,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700084,33030335,TSAKANE EXT 17 TENT,3340,23,184,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700084,33030335,TSAKANE EXT 17 TENT,3340,23,123,ACTIONSA,Ward
EKU,Ward 79700084,33030346,EKUPHILENI CRECHE,1775,15,456,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700084,33030346,EKUPHILENI CRECHE,1775,15,355,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700084,33030346,EKUPHILENI CRECHE,1775,15,122,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700084,33030346,EKUPHILENI CRECHE,1775,15,81,ACTIONSA,Ward
EKU,Ward 79700085,33030010,HOLINESS UNION CHURCH,2360,20,594,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700085,33030010,HOLINESS UNION CHURCH,2360,20,462,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700085,33030010,HOLINESS UNION CHURCH,2360,20,158,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700085,33030010,HOLINESS UNION CHURCH,2360,20,106,ACTIONSA,Ward
EKU,Ward 79700085,33030278,LETSIE PRIMARY SCHOOL,2088,19,548,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700085,33030278,LETSIE PRIMARY SCHOOL,2088,19,426,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700085,33030278,LETSIE PRIMARY SCHOOL,2088,19,146,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700085,33030278,LETSIE PRIMARY SCHOOL,2088,19,97,ACTIONSA,Ward
EKU,Ward 79700085,33030302,NCHABELENG SCHOOL,2293,20,588,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700085,33030302,NCHABELENG SCHOOL,2293,20,457,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700085,33030302,NCHABELENG SCHOOL,2293,20,157,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700085,33030302,NCHABELENG SCHOOL,2293,20,104,ACTIONSA,Ward
EKU,Ward 79700086,33030537,TENT EXTENSION 17 OPEN SPACE NXT TO HOUSE NO 176,1463,13,397,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700086,33030537,TENT EXTENSION 17 OPEN SPACE NXT TO HOUSE NO 176,1463,13,309,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700086,33030537,TENT EXTENSION 17 OPEN SPACE NXT TO HOUSE NO 176,1463,13,106,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700086,33030537,TENT EXTENSION 17 OPEN SPACE NXT TO HOUSE NO 176,1463,13,71,ACTIONSA,Ward
EKU,Ward 79700086,33030582,RIVER OF LIFE CHURCH,932,7,198,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700086,33030582,RIVER OF LIFE CHURCH,932,7,154,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700086,33030582,RIVER OF LIFE CHURCH,932,7,53,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700086,33030582,RIVER OF LIFE CHURCH,932,7,35,ACTIONSA,Ward
EKU,Ward 79700086,33080105,ASSER MALOKA HIGH SCHOOL,1646,16,478,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700086,33080105,ASSER MALOKA HIGH SCHOOL,1646,16,372,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700086,33080105,ASSER MALOKA HIGH SCHOOL,1646,16,128,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700086,33080105,ASSER MALOKA HIGH SCHOOL,1646,16,85,ACTIONSA,Ward
EKU,Ward 79700087,33080060,MASECHABAVIEW (SEAD)CLINIC,2086,18,540,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700087,33080060,MASECHABAVIEW (SEAD)CLINIC,2086,18,420,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700087,33080060,MASECHABAVIEW (SEAD)CLINIC,2086,18,144,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700087,33080060,MASECHABAVIEW (SEAD)CLINIC,2086,18,96,ACTIONSA,Ward
EKU,Ward 79700087,33080071,TENT (NEXT TO RETENTION DAM),3756,33,986,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700087,33080071,TENT (NEXT TO RETENTION DAM),3756,33,767,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700087,33080071,TENT (NEXT TO RETENTION DAM),3756,33,263,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700087,33080071,TENT (NEXT TO RETENTION DAM),3756,33,175,ACTIONSA,Ward
EKU,Ward 79700087,33080093,DUDUZA MULTIPURPOSE CENTRE,1365,11,332,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700087,33080093,DUDUZA MULTIPURPOSE CENTRE,1365,11,258,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700087,33080093,DUDUZA MULTIPURPOSE CENTRE,1365,11,89,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700087,33080093,DUDUZA MULTIPURPOSE CENTRE,1365,11,59,ACTIONSA,Ward
EKU,Ward 79700088,33080015,MACKENZIEVILLE COMMUNITY HALL,2510,22,662,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700088,33080015,MACKENZIEVILLE COMMUNITY HALL,2510,22,515,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700088,33080015,MACKENZIEVILLE COMMUNITY HALL,2510,22,177,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700088,33080015,MACKENZIEVILLE COMMUNITY HALL,2510,22,118,ACTIONSA,Ward
EKU,Ward 79700088,33080026,ALRAPARK COMMUNITY HALL,2697,23,690,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700088,33080026,ALRAPARK COMMUNITY HALL,2697,23,537,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700088,33080026,ALRAPARK COMMUNITY HALL,2697,23,184,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700088,33080026,ALRAPARK COMMUNITY HALL,2697,23,123,ACTIONSA,Ward
EKU,Ward 79700088,33080037,NIGEL HIGH SCHOOL,2838,30,873,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700088,33080037,NIGEL HIGH SCHOOL,2838,30,679,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700088,33080037,NIGEL HIGH SCHOOL,2838,30,233,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700088,33080037,NIGEL HIGH SCHOOL,2838,30,155,ACTIONSA,Ward
EKU,Ward 79700089,32890406,TERSIA KING LEARNING ACADEMY,2322,19,557,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700089,32890406,TERSIA KING LEARNING ACADEMY,2322,19,433,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700089,32890406,TERSIA KING LEARNING ACADEMY,2322,19,148,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700089,32890406,TERSIA KING LEARNING ACADEMY,2322,19,99,ACTIONSA,Ward
EKU,Ward 79700089,32890619,AFRICAN COPTIC ORTHODOX CHURCH,2711,19,561,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700089,32890619,AFRICAN COPTIC ORTHODOX CHURCH,2711,19,436,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700089,32890619,AFRICAN COPTIC ORTHODOX CHURCH,2711,19,150,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700089,32890619,AFRICAN COPTIC ORTHODOX CHURCH,2711,19,100,ACTIONSA,Ward
EKU,Ward 79700089,32890653,THEMBINKOSI SCHOOL FOR LSEN,2562,18,531,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700089,32890653,THEMBINKOSI SCHOOL FOR LSEN,2562,18,413,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700089,32890653,THEMBINKOSI SCHOOL FOR LSEN,2562,18,142,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700089,32890653,THEMBINKOSI SCHOOL FOR LSEN,2562,18,94,ACTIONSA,Ward
EKU,Ward 79700090,32890473,ARMOUR FOUNDATION PRIVATE SCHOOL,3510,20,591,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700090,32890473,ARMOUR FOUNDATION PRIVATE SCHOOL,3510,20,460,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700090,32890473,ARMOUR FOUNDATION PRIVATE SCHOOL,3510,20,158,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700090,32890473,ARMOUR FOUNDATION PRIVATE SCHOOL,3510,20,105,ACTIONSA,Ward
EKU,Ward 79700090,32890642,EHLANZENI HOSTEL HALL,2499,15,443,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700090,32890642,EHLANZENI HOSTEL HALL,2499,15,345,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700090,32890642,EHLANZENI HOSTEL HALL,2499,15,118,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700090,32890642,EHLANZENI HOSTEL HALL,2499,15,79,ACTIONSA,Ward
EKU,Ward 79700090,32890675,NCP HALL,3269,23,670,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700090,32890675,NCP HALL,3269,23,521,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700090,32890675,NCP HALL,3269,23,179,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700090,32890675,NCP HALL,3269,23,119,ACTIONSA,Ward
EKU,Ward 79700091,32890484,COEN SCHOLTZ COMMUNITY CENTRE HALL,5109,49,1445,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700091,32890484,COEN SCHOLTZ COMMUNITY CENTRE HALL,5109,49,1124,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700091,32890484,COEN SCHOLTZ COMMUNITY CENTRE HALL,5109,49,385,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700091,32890484,COEN SCHOLTZ COMMUNITY CENTRE HALL,5109,49,257,ACTIONSA,Ward
EKU,Ward 79700091,32890495,JEUGPARK LAERSKOOL,3764,37,1087,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700091,32890495,JEUGPARK LAERSKOOL,3764,37,846,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700091,32890495,JEUGPARK LAERSKOOL,3764,37,290,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700091,32890495,JEUGPARK LAERSKOOL,3764,37,193,ACTIONSA,Ward
EKU,Ward 79700091,32890518,NORKEM PARK PRIMARY SCHOOL,2582,27,806,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700091,32890518,NORKEM PARK PRIMARY SCHOOL,2582,27,626,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700091,32890518,NORKEM PARK PRIMARY SCHOOL,2582,27,215,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700091,32890518,NORKEM PARK PRIMARY SCHOOL,2582,27,143,ACTIONSA,Ward
EKU,Ward 79700092,33060877,ITHEMBELIHLE LSEN SCHOOL,2101,22,651,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700092,33060877,ITHEMBELIHLE LSEN SCHOOL,2101,22,506,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700092,33060877,ITHEMBELIHLE LSEN SCHOOL,2101,22,174,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700092,33060877,ITHEMBELIHLE LSEN SCHOOL,2101,22,116,ACTIONSA,Ward
EKU,Ward 79700092,33060888,GOUDRIF HIGH SCHOOL,3677,40,1184,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700092,33060888,GOUDRIF HIGH SCHOOL,3677,40,921,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700092,33060888,GOUDRIF HIGH SCHOOL,3677,40,316,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700092,33060888,GOUDRIF HIGH SCHOOL,3677,40,211,ACTIONSA,Ward
EKU,Ward 79700092,33060899,LAERSKOOL OOSTERKRUIN,2530,27,801,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700092,33060899,LAERSKOOL OOSTERKRUIN,2530,27,623,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700092,33060899,LAERSKOOL OOSTERKRUIN,2530,27,214,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700092,33060899,LAERSKOOL OOSTERKRUIN,2530,27,142,ACTIONSA,Ward
EKU,Ward 79700093,33020491,LIVING WATERS ASSEMBLY,3310,23,677,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700093,33020491,LIVING WATERS ASSEMBLY,3310,23,526,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700093,33020491,LIVING WATERS ASSEMBLY,3310,23,180,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700093,33020491,LIVING WATERS ASSEMBLY,3310,23,120,ACTIONSA,Ward
EKU,Ward 79700093,33060754,GOOD HOPE PRE-SCHOOL,2799,18,523,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700093,33060754,GOOD HOPE PRE-SCHOOL,2799,18,407,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700093,33060754,GOOD HOPE PRE-SCHOOL,2799,18,139,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700093,33060754,GOOD HOPE PRE-SCHOOL,2799,18,93,ACTIONSA,Ward
EKU,Ward 79700093,33060765,VUKUKHANYE PRE-SCHOOL,3967,19,548,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700093,33060765,VUKUKHANYE PRE-SCHOOL,3967,19,426,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700093,33060765,VUKUKHANYE PRE-SCHOOL,3967,19,146,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700093,33060765,VUKUKHANYE PRE-SCHOOL,3967,19,97,ACTIONSA,Ward
EKU,Ward 79700094,33000220,BRACKEN PARK COMMUNITY HALL,4155,43,1256,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700094,33000220,BRACKEN PARK COMMUNITY HALL,4155,43,977,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700094,33000220,BRACKEN PARK COMMUNITY HALL,4155,43,335,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700094,33000220,BRACKEN PARK COMMUNITY HALL,4155,43,223,ACTIONSA,Ward
EKU,Ward 79700094,33000264,ALBERTON FIRE STATION,4685,52,1551,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700094,33000264,ALBERTON FIRE STATION,4685,52,1206,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700094,33000264,ALBERTON FIRE STATION,4685,52,414,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700094,33000264,ALBERTON FIRE STATION,4685,52,276,ACTIONSA,Ward
EKU,Ward 79700094,33000387,ST FRANCIS CHURCH,1599,19,553,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700094,33000387,ST FRANCIS CHURCH,1599,19,430,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700094,33000387,ST FRANCIS CHURCH,1599,19,147,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700094,33000387,ST FRANCIS CHURCH,1599,19,98,ACTIONSA,Ward
EKU,Ward 79700095,33020019,LETHULWAZI SECONDARY SCHOOL,3982,33,977,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700095,33020019,LETHULWAZI SECONDARY SCHOOL,3982,33,760,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700095,33020019,LETHULWAZI SECONDARY SCHOOL,3982,33,261,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700095,33020019,LETHULWAZI SECONDARY SCHOOL,3982,33,174,ACTIONSA,Ward
EKU,Ward 79700095,33020020,MAMPUDI PRIMARY SCHOOL,3357,27,788,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700095,33020020,MAMPUDI PRIMARY SCHOOL,3357,27,613,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700095,33020020,MAMPUDI PRIMARY SCHOOL,3357,27,210,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700095,33020020,MAMPUDI PRIMARY SCHOOL,3357,27,140,ACTIONSA,Ward
EKU,Ward 79700095,33020615,VACANT SITE-MAPLETON EXT10 (TENT),3974,31,922,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700095,33020615,VACANT SITE-MAPLETON EXT10 (TENT),3974,31,717,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700095,33020615,VACANT SITE-MAPLETON EXT10 (TENT),3974,31,246,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700095,33020615,VACANT SITE-MAPLETON EXT10 (TENT),3974,31,164,ACTIONSA,Ward
EKU,Ward 79700096,33010298,PUTFONTEIN PORTION 100 (TENT),3240,27,794,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700096,33010298,PUTFONTEIN PORTION 100 (TENT),3240,27,618,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700096,33010298,PUTFONTEIN PORTION 100 (TENT),3240,27,212,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700096,33010298,PUTFONTEIN PORTION 100 (TENT),3240,27,141,ACTIONSA,Ward
EKU,Ward 79700096,33010311,PORTION 37 OF PUTFONTEIN,2770,23,682,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700096,33010311,PORTION 37 OF PUTFONTEIN,2770,23,531,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700096,33010311,PORTION 37 OF PUTFONTEIN,2770,23,182,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700096,33010311,PORTION 37 OF PUTFONTEIN,2770,23,121,ACTIONSA,Ward
EKU,Ward 79700096,33010355,AFRICAN CHURCH,4385,34,994,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700096,33010355,AFRICAN CHURCH,4385,34,773,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700096,33010355,AFRICAN CHURCH,4385,34,265,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700096,33010355,AFRICAN CHURCH,4385,34,177,ACTIONSA,Ward
EKU,Ward 79700097,33030021,INDOOR SPORTS CENTRE,2455,23,681,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700097,33030021,INDOOR SPORTS CENTRE,2455,23,530,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700097,33030021,INDOOR SPORTS CENTRE,2455,23,182,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700097,33030021,INDOOR SPORTS CENTRE,2455,23,121,ACTIONSA,Ward
EKU,Ward 79700097,33030032,TOWN HALL,4006,34,1014,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700097,33030032,TOWN HALL,4006,34,789,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700097,33030032,TOWN HALL,4006,34,270,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700097,33030032,TOWN HALL,4006,34,180,ACTIONSA,Ward
EKU,Ward 79700097,33030043,HOËRSKOOL DIE ANKER,3252,34,999,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700097,33030043,HOËRSKOOL DIE ANKER,3252,34,777,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700097,33030043,HOËRSKOOL DIE ANKER,3252,34,266,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700097,33030043,HOËRSKOOL DIE ANKER,3252,34,178,ACTIONSA,Ward
EKU,Ward 79700098,33080138,LUCKY MKHWANAZI CLINIC,2883,24,712,AFRICAN NATIONAL CONGRESS,Ward
